PERSONNM,VENDOR_NAME
THERESA SCHEETZ,ROBERT MORRIS UNIVERSITY
JACLYN JARVIS,UNIVERSITY OF NORTHWESTERN OHIO
MARIA RYAN,STONY BROOK DENTAL ASSOCIATES PC
KIRK ADAMS,AMERICAN FOUNDATION FOR THE BLIND
DAVID A SCHAROUN,PEOPLES EQUAL ACTION AND COMMUNITY
PAUL LOWDEN,AMERICAN HOCKEY COACHES ASSOCIATION
TINA KRASNECKY,OLD STURBRIDGE INC
DR EDMOND AKUBUIRO,CENTER FOR DISPUTE SETTLEMENT
EMILY ASPINALL,HAMPTON CLASSIC HORSE SHOW INC
ARTHUR AMBROSE,WOODBROOK ASSISTED LIVING RESIDENCE INC
THOMAS FARACE,LEGAL AID SOCIETY OF ROCHESTER NY INC
NAJ WIKOFF,WYCKOFF HOUSE & ASSOCIATION INC
DR WILLIAM B RHOADS,FRIENDS OF HISTORIC KINGSTON
ROBERTA SEILER,PARENT TEACHER ASSOCIATION OF P S 59 INC
G NATHAN BARNES,AMHERST SYMPHONY ORCHESTRA ASSOCIATION
DENIS FRERES,GREENLAWN CENTERPORT HISTORICAL
JIMMY W TAKTER,HARNESS RACING MUSEUM & HALL OF FAME
CELESTE SCHOONOVER,CATTARAUGUS ALLEGANY WORKFORCE INVESTMEN
JEFFREY CARPENTER,KATONAH-BEDFORD HILLS VAC
NICHOLAS PAVLIK,THE EPISCOPAL ACTORS GUILD OF AMERICA
ARTHUR E IMPERATORE JR,PALISADES PARKS CONSERVANCY INC
CONRAD FOA,CIVITAS CITIZENS INC
PRESTON GILBERT,ALUMNI ASSOCIATION SUNY COLLEGE OF
LUCIA PONS,LOWER WEST SIDE HOUSEHOLD SERVICE CORP
ELIZABETH A KRAENGEL,UB LAW ALUMNI ASSOCIATION INCORPORATED
PETER BRAUS,FRIENDS OF HUDSON RIVER PARK
SARAH CHAKRIN,VISION ED INC
ROBERT L VAN NOSTRAND,FARMINGDALE CAMPAIGN 845
MICHAEL FRIEDLANDER,THE UNION HOOK AND LADDER COMPANY NO 1
GERI ROZANSKI,AMERICAN CIVIL LIBERTIES UNION
DR STEVEN J MARTIN,OHIO NORTHERN UNIVERSITY
GABRIEL EHIOGHIREN,IYAHO SOCIAL SERVICES
SHARON HAMILTON,NEW VISION SERVICES INC
CYNTHIA SCHERER,THE TRUST FOR PUBLIC LAND
CARRIE WILDE,COUNCIL ON REHABILITATION EDUCATION INC
ILENE PAIKIN,GAN MIRIAM
BEN GIBBONS,FACULTY STUDENT ASSOC INC OF HERKIMER
JUDGE VANESSA BOGAN,UNITED WAY OF CENTRAL NEW YORK INC
JEFFREY C HAWKINS,ACTORS COMPANY THEATRE INC
BENJAMIN WEISMAN,NATIONAL MARFAN FOUNDATION
WILLIAM VINING,STATE UNIVERSITY OF NEW YORK COLLEGE AT
KATHERINE MARTINEZ,STUDENT SENATE OF THE STATE UNIVERSITY
ROBERT PULLANO,GREATER RIDGEWOOD YOUTH COUNCIL INC
DR MICHAEL KUCHAR,MIDDLE STATES ASSOCIATION OF COLLEGES
WILLIAM LEE,AMERICAN CLASSICAL ORCHESTRA INC
WAYNE RISHELL,UNITED WAY OF SOUTHERN CHAUTAUQUA COUNTY
DEB KATHMAN,UNITED WAY OF SOUTHERN CHAUTAUQUA COUNTY
MARTIN COLAVITO,NEWBURGH PREPARATORY CHARTER HIGH SCHOOL
JED S MARCUS,THE SKYSCRAPER MUSEUM
DAVID ROMANELLI,SEARCH & CARE INC
MATT SCLAFANI,FARMINGDALE BASEBALL LEAGUE INC
MARCUS RAUSCH - VP RESEARCH,NATIOINAL ASSOC OF CHARTER SCHOOL AUTHO
RACHEL DEMOLFETTO,MONDAYS AT RACINE INC
LAURA BIASILLO,FARMERS MARKET FEDERATION OF NY
CHARLES WAIT JR,EMPIRE STATE COLLEGE FOUNDATION INC
MARIAN CONWAY,EMPIRE STATE COLLEGE FOUNDATION INC
JOSHUA SIEGEL,CINEMA TROPICAL INC
LUCY FRIEDMAN,HUMAN SERVICES COUNCIL OF NYC
KEVIN LYONS,VHS INC
CAROL A RIBEIRO,VHS INC
DENELLA JAMES,BOTTOM LINE INC
CRAIG RUHLING,FRIENDS OF THE CULTURAL CENTER INC
RUSSELL TUTT,THE COLORADO SPRINGS SCHOOL
WENDELL PIERCE,ALLIANCE FOR A HEALTHIER GENERATION
ANASTASIA BENJAMIN,M-ARK PROJECT INC
CHILUKURI MOHAN,FOOD BANK OF CENTRAL NEW YORK
MARGO ROSS,CENTER FOR SUPPORTIVE SCHOOLS
GWEN SEAQUIST,THE HISTORY CENTER IN TOMPKINS COUNTY
PATRICK ODLE,FAITH BAPTIST BIBLE COLLEGE AND
CHRISTINE KAJETSKE,PARK SLOPE CENTER FOR MENTAL HEALTH INC
PENNY WISNESKI,BISHOP SHEEN ECUMENICAL HOUSING
MICHAEL CANDERS,SCHOOL BUSINESS PARTNERSHIPS OF LI INC
LAYNE HARPINE,LEARNING RESOURCES NETWORK
JOHANNA BARTLETT,THE CENTER FOR YOUTH SERVICES INC
CLIFFORD J ROSE,AMERICAN HUMANE ASSOCIATION
ELIZABETH CAMPBELL,MOHAWK VALLEY PERINATAL NETWORK INC
MICHAEL HERTZ ESQ,VOLUNTEERS OF LEGAL SERVICE
INA WEBER DAVIS,NATIONAL COUNCIL OF JEWISH WOMEN
ANGELA MINOR ESQ,AMERICAN MOCK TRIAL ASSN
KARLA M GREEN,PUBLIC BROADCASTING COUNCIL OF CENTRAL
MICHAEL HUTMAKER,BMCC EARLY CHILDHOOD CENTER INC
AMY STOLDT,PS183 PARENT TEACHER ASSOC INC
HARRISON MAAS,NEW YORK CITY AUDUBON SOCIETY INC
DANIEL RUBIN,CITY LIMITS NEWS INC
SCOTT TERRILLION,ALBANY COLLEGE OF PHARMACY
SARA MASCIA,ELIZABETH MASCIA CHILD CARE CENTER
WINSTON SIMS,MONADNOCK FAMILY SERVICES
RODERICK STOKES,MID-AMERICAN ATHLETIC CONFERENCE INC
DR DUANE NELLIS,MID-AMERICAN ATHLETIC CONFERENCE INC
SASHA WILSON,BRONX COMMUNITY CHARTER SCHOOL
GREGG MINEO,MULTI-STATE LOTTERY ASSOCIATION
GREGG EDGAR,MULTI-STATE LOTTERY ASSOCIATION
PHIL STRAUS,FOUNDATION FOR NATIONAL PROGRESS
CORA MALLORY-DAVIS,COMMUNITY FOUNDATIONS OF THE HUDSON
ROBERT PADULA,CAYUGA COUNTY HOMESITE
ABRAHAM SHAPIRO,SPECIAL CARE FAMILY & CHILDREN
TERESA HARMAN,DELTA SIGMA THETA SORORITY
CHERYL SIMMONS OLIVER,BRONX ROTARY FOUNDATION OF ROTARY CLUB
JAY HEILER,ARIZONA STATE UNIVERSITY FOUNDATION FOR
KAREN C MILLER,EDUCATIONAL FOUNDATION OF ORANGE CO COMM
LARRY NEWBY,DIRECTION SERVICE
ERAM CHAUDHRY MD,GREAT LAKE PHYSICIAN PRACTICE PC
ERIC MONTGOMERY,SUSAN G KOMEN BREAST CANCER FOUNDATION
TAMMY BECKHAM,K-STATE DIAGNOSTIC & ANALYTICAL SERVICES
TRACY L SIMMONS,LAW SCHOOL ADMISSION COUNCIL
JOHN ALMAVIVA,FMS WORKFORCE DEV BOARD
KATHERINE FOSTER,NORTH ATLANTIC CONFERENCE
BETH BROCKWAY SERRATE,PALMER TRINITY PRIVATE SCHOOL INC
LISA M AKERS,HOMEFRONT INC
THOMAS RYAN,ADAPTIVE SPORTS FOUNDATION INC
PETER WUNSCH,THE LOWELL SCHOOL
MAURINE POWELL,NORTH AMERICAN ASSOCIATION OF SUMMER
JENNIFER LANG HENESSEY,ADIRONDACK TRAIL IMPROVEMENT SOCIETY
THOMAS RIGNEY,HOWLAND PUBLIC LIBRARY
KATHLEEN O'HARA,NEW YORK STATE ASSOCIATION OF SCHOOL
THOMAS VICE,FLORIDA INSTITUTE OF TECHNOLOGY INC
DOUGLAS SINCLAIR,ORISKANY FALLS HOUSING DEVELOPMENT FUND
ADRIENNE OLIVERAS,NORTH COUNTRY COMMUNITY COLLEGE
CRISTINA GREEVEN CUOMO,TURNAROUND FOR CHILDREN INC
THOMAS J WINKEL THRU 1016,ALZHEIMERS DISEASE AND RELATED DISORDERS
JAMIE BLAKE,LINCOLN VOLUNTEER FIRE DEPARTMENT
DIANNE TOPPLE,COLUMBIA-GREENE COMMUNITY COLLEGE DAY
DEBRA BEARD,EXODUS SCHOOL
STEPHEN P HANSON,PUBLICOLOR INC
JELLIOT MANASSEH,METROPOLITAN DEVELOPMENT CENTER INC
DREW WHITE,FAMILY CENTER INC
CHARLES O'BRYAN,SOUTH CENTRAL REGIONAL LIBRARY COUNCIL
HANS VAN DER MARS,AMERICAN ALLIANCE FOR HEALTH PHYSICAL
JOHN CRABTREE,BOYS CLUB OF MT KISCO INC
SAMANTHA CAILLOT,HAITIAN AMERICANS UNITED FOR PROGRESS
GREG MENDENHALL,ADMINISTRATION SERVING THE DEAF
TRAVIS BAUTZ,OHIONET
RICHARD BAUMANN,ST MARYS SCHOOL FOR THE DEAF
ANDREW TOMBACK,THE CHURCHILL SCHOOL AND CENTER
CHRISTINE HARLAND,THE GO PROJECT INC
REV JAMES MCDONALD,SCHENECTADY INNER CITY MINISTRY
CATHERINE CAMERON,UNIVERSITY PRESS OF COLORADO
MICHAEL COPPOTELLI,STATEN ISLAND AID FOR RETARDED CHILDREN
DR CYNTHIA B GREEN,COMMUNITY ACCESS INC
MORENIKE WILLIAMS,COMMUNITY ACCESS INC
GREGORY DUVAL,SCHOOL OF MANAGEMENT ALUMNI ASSOCIATION
DANIEL FISHER,NATIONAL EMPOWERMENT CENTER
TED GRASER,NORTH COUNTRY CENTER FOR INDEPENDENCE
J MICHAEL RAGAN,INTERNATIONAL ASSOCIATION OF CAMPUS LAW
PROF LLOYD ULTAN,THE BRONX COUNTY HISTORICAL SOCIETY
KELLENA LW KANE,COMMUNITY MUSIC SCHOOL OF BUFFALO
KIMBERLY STRAUCHON-VERNER,CAPITAL DISTRICT CENTER FOR INDEPENDENCE
CHARLIE SCHIANO JR,GREECE UNITED FUTBOL CLUB INC
OWEN F BURNS,NYBDC LOCAL DEVELOPMENT CORPORATION
ALAISHA ALEXANDER,NATIONAL SOCIETY OF BLACK ENGINEERS
GLENN T MARSHALL,HISTORICAL SOCIETY OF NEWBURGH BAY AND
DAN LEHRFELD,JCC ROCKLAND INC
ARES DALIANIS,MIDWEST YOUNG ARTISTS
DAVID TOBIN,AUBURN PUBLIC THEATER INC
BARBARA NINO,ROCHESTER CITY BALLET INC
BRIAN TIPPENS,NATIONAL ACTION COUNCIL FOR MINORITIES
ZAKI TAMIR,CROWN HEIGHTS JEWISH COMMUNITY COUNCIL
DR LAWRENCE A KILEY,WSKG PUBLIC TELECOMMUNICATIONS COUNCIL
LESLIE SIEGARD,ST CATHERINES CENTER FOR CHILDREN
TINA BUCKLEY,NORTHERN NY RURAL BEHAVIORAL HEALTH
LAURA PAWEL,THE AICHHORN SCHOOL
RICK BARRAGAN,GREEN DOT NEW YORK CHARTERS
BRUCE SILLNER,THE FORUM ON EDUCATION ABROAD
TIM HASSLEN,SOLID WASTE ASSOCIATION OF NORTH AMERICA
ROBERT WATTS,SOLID WASTE ASSOCIATION OF NORTH AMERICA
RANDY DORN,COUNCIL OF CHIEF STATE SCHOOL OFFICERS
ALYSSA S WHITFIELD,GIRL SCOUTS OF WESTERN NEW YORK INC
KATHLEEN NOLAN-KASAL,MALVERNE AFTERSCHOOL CENTER INC
FRANK MILLERICK,BECKER COLLEGE
DOUG THOMAS MSW LCSW,NATIONAL ASSOCIATION OF STATE MENTAL
SIDNEY B JOYNER,CITIWIDE HARM REDUCTION
DAVID E FEDELES,MID ATLANTIC ARTS FOUNDATION
PILAR CONDE,YOUTH COMMUNICATION NEW YORK CENTER
CHARLES RICE-GONZALEZ,BRONX COUNCIL ON THE ARTS INC
JOSEPH DESTEPHAN,CAMELOT OF STATEN ISLAND INC
DIANE MCCUE,STATE UNIVERSITY OF NEW YORK COLLEGE AT
KOREY KROSS,CHILD CARE COUNCIL OF WESTCHESTER INC
KATALIN MECHTLER,HALLWALLS INC
CHRISTOPHER IPEK,47TH STREET BUSINESSIMPROVEMENT DISTRICT
STEVEN WLADIS,JEWISH COMMUNITY CENTER OF SYRACUSE INC
MARCI ERLEBACHER,JEWISH COMMUNITY CENTER OF SYRACUSE INC
KAREN COOPER,SAVE THE RIVER
D SCOTT CAYCE,YORK COLLEGE OF PENNSYLVANIA
JOHN MATTERA,EAST SHORE LITTLE LEAGUE INC
STEPHEN AIELLO,STUDENT UNION SERVICES CORP QUEENS
KEVIN R MALCHOFF,THEODORE ROOSEVELT INAUGURAL SITE
JEANNE MEKOLICHICK,COUNCIL ON UNDERGRADUATE RESEARCH
MS JULIETTE FRANCIS,SCIENCE MUSEUM OF MINNESOTA
PHIL DIPASQUALE,NATIVITY PREPARATORY ACADEMY ASSOCIATES
VAL LEHR,ST LAWRENCE UNIVERSITY
JAMES F MCCOY,BALLET HISPANICO OF NEW YORK INC
FRED ANTONELLI,AGAPE COUNSELING ASSOC
HANK S OTERO,MARGERT COMMUNITY CORPORATION
JUDY WILLIG,HEIGHTS & HILL
VINCE TAYLOR,THE STUDENT CONSERVATION ASSOCIATION INC
CLARA I ALVAREZ,COMMUNITY RESOURCES AND SERVICES FOR
ESTER VARGAS,INTERNATIONAL BUSINESS INNOVATION
LISA CLEFF KURTZ,ALLIANCE OF RESIDENT THEATRES NEW YORK
DAMARIS CARBONE,FULMONT COMMUNITY ACTION AGENCY INC
ELIZABETH KIM,RESTORE NYC INC
JONATHAN H GARDNER,BUFFALO URBAN LEAGUE INC
BRYAN RIVERA,FAMILY LIFE ACADEMY CHARTER SCHOOL
SCOTT DUNN,JEWISH COMM COUNCIL OF THE ROCKAWAY
BARRESI ROSEMARIE,PRESTON CENTER OF COMPASSION
COTTER ROBERT,UNION INSTITUTE & UNIVERSITY
SCOTT GEWIRTZ,GRAND STREET SETTLEMENT
CHRIS BRANDAU,THE NEW YORK STATE WEATHERIZATION
AMY VANDEWERKER,ONEONTA COMMUNITY CHRISTIAN SCHOOL
PATRICIA MORTON,PIERPONT MORGAN LIBRARY
MARTIN WILLIAMS,SOURCEAMERICA
WAYNE JUDITH,NEW ENGLAND SCHOOL OF LAW
CHUCK HESSELBEIN,AMERICAN SOCIETY OF PROFESSIONAL
LINDA FUCHS,ANDREWS UNIVERSITY
MICHAEL BRAUN,SUNY CORTLAND STUDENT GOVERNMENT
MARQUITTA SPELLER,HARLEM CHILDRENS ZONE INC
PETER BISCARDI,SAINT LEO UNIVERSITY
MICHAEL LOMBARDY,SAINT LEO UNIVERSITY
TERRY DRISCOLL,COLONIAL ATHLETIC ASSOCIATION FOOTBALL
DR MICHAEL CUNNINGHAM,CENTER FOR CREATIVE LEADERSHIP
CLAIRE KEPNER,GIRL SCOUTS OF NY PENN PATHWAYS INC
PAUL KAPLAN PHD,HUDSON VALLEY DAY CARE CENTER INC
ANDREW SOLOMON,METROPOLITAN MUSEUM OF ART
JAMES BREYER,METROPOLITAN MUSEUM OF ART
ANNA WINTOUR,METROPOLITAN MUSEUM OF ART
CHERYL MOORE,CHEEKTOWAGA ECONOMIC DEVELOPMENT
JOSEPH MAURO,ALBERTSON HERRICKS LITTLE LEAGUE INC
DOUGLAS SAYLOR MD,HEALTH DELIVERY INC
PATRICE CROUTIER,ROSA LEE YOUNG CHILDHOOD CENTER
NANCY A KIRSCH,FOREST LAWN HERITAGE FOUNDATION INC
SARA TREMAINE,GRANITE STATE MANAGMENT RESOURCES
REIN EICHINGER,CHILDREN AT PLAY EARLY INTERVENTION
JAYCOB MEGNA,GULLS AMATEUR HOCKEY ASSOCIATI ON
MARK JEZIORSKI,PRIMARY CARE DEVELOPMENT CORP
CATHERINE ENNESSER,THE CHILDRENS LAW CENTER
VERNELL DEWITTY,AMERICAN ASSOCIATION OF COLLEGES OF
JENNIFER L KROMAN,SANCTUARY FOR FAMILIES
SHARON BIGIN,ALTERNATIVES FOR CHILDREN
JOE LEWIS,STUDENT ASSOCIATION
MR GERY J CHICO,DEPAUL UNIVERSITY
HELEN T WHITTEMORE,THE TRUSTEES OF ROANOKE COLLEGE
G MICHAEL PACE,THE TRUSTEES OF ROANOKE COLLEGE
SUZANNA M BERND,GLENS FALLS SYMPHONY ORCH INC
CHARLES T WITTREICH JR,SUFFOLK CC FOUNDATION 816
KRYSTYNA HOUSER,BROOKLYN BOTANIC GARDEN CORPORATION
WILLIAM HEIL,TECH MUSEUM OF INNOVATION
VANESSA ABRAMOWITZ,MIAMI COUNTRY DAY SCHOOL INCORPORATED
PEDRO J TORRES,SPANISH THEATRE REPERTORY CO
MARTIN D NEWMAN ESQ,SAFE HORIZON INC
JEFFREY BRODSKY,SAFE HORIZON INC
NANCY CLARK,SAFE HORIZON INC
ELIZABETH J CLARK PHD,THE LEUKEMIA & LYMPHOMA SOCIETY INC
MERLE D KAILAS,LARK THEATRE COMPANY INC
CHRISTINE MEYER,COMMUNITY CENTER OF NORTHERN WESTCHESTER
DWAYNE JOBST,CONCORDIA UNIVERSITY WISCONSIN
AMY BARTLETT,WARREN WASHINGTON CARE CENTER
DEBORAH NOVICK,WINGSPAN ARTS INC
PATRICIA CHRISTINA,CHAUTAUQUA OPPORTUNITIES INC
CHERI CARTER,PARK SCHOOL OF BUFFALO
TAYLOR STEVEN,OKLAHOMA MEDICAL RESEARCH FOUNDATION
BENBROOK BRUCE,OKLAHOMA MEDICAL RESEARCH FOUNDATION
JEFF LYNCH,ALPHAPOINTE
WILLIAM J CURRY,ALBANY LAW SCHOOL
STEFANIE M WOOL ESQ,LIFELINE CENTER FOR CHILD DEVELOPMENT
DEBBIE PANTIN,THE COALITION FOR BEHAVIORAL HEALTH INC
DR KEITH COOPER,NEW JERSEY SEA GRANT CONSORTIUM
BARBARA K MISTICK,WILSON COLLEGE
MICHELLE GONZALEZ,YWCA OF YONKERS
PHIL BERGE,SAFE FAMILIES FOR CHILDREN ALLIANCE
PETER HIMBERGER,O POSITIVE FESTIVALS INC
ROBERT GUTHEIL,DAY CARE COUNCIL OF NEW YORK INC
KENNETH BUCK,FINGER LAKES COMM COLLEGE FOUNDATION 799
SEAN SOCHA,FINGER LAKES COMM COLLEGE FOUNDATION 799
HELEN HALEWSKI,HILLSIDE CHILDRENS FOUNDATION
DEPAIVA KASSIE,CENTER FOR HEARING AND COMMUNICATION
THOMAS J ZIRPOLI,MCDANIEL COLLEGE
DANIEL WEGMAN,HILLSIDE WORK SCHOLARSHIP CONNECTION
ROBERT S CRAUSMAN MD,RHODE ISLAND QUALITY PARTNERS
DAVID J WALSH,THE COLLEGE OF MOUNT SAINT VINCENT
DOMINICA ROCCHIO SC,THE COLLEGE OF MOUNT SAINT VINCENT
PAIGE ROYER,FILM FORUM INC
ROBERTA SCHNEIDERMAN,FILM FORUM INC
JACK MA,JEAN TOLAND
MARK BURGET,NATURE CONSERVANCY THE
RUTH ALTCHEK,COMPUTERS FOR YOUTH FOUNDATION
CHRISTINE MCGUINNESS,HABITAT FOR HUMANITY NEW YORK CITY INC
RONALD F RIES,SELFHELP COMMUNITY SERVICES
NATHAN E SAVIN,CALIFORNIA COLLEGE OF THE ARTS
ALBERTA ARTHURS,AMERICAN SYMPHONY ORCHESTRA LEAGUE
JAMES HEFFERNAN,KEYSTONE COLLEGE
DIANE C PAPARO,KEYSTONE COLLEGE
RICHARD PARSONS,JAZZ FOUNDATION OF AMERICA INC
ANNE BOGART,STAGE DIRECTORS AND CHOREOGRAPHERS
ROSEMARY HERRON,GWYNEDD MERCY UNIVERSITY
JUDITH K LARTER,LAKE GEORGE LAND CONSERVANCY INC
TOM HALL,LAKE GEORGE LAND CONSERVANCY INC
TOM HALL,LAKE GEORGE LAND CONSERVANCY
CHARLOTTE BOWMAN,APPLIED BEHAVIOR ANALYSIS CORPORATION
DAVID MILLER,SING FOR HOPE INC
SUSAN BIRNIE,MCMASTER UNIVERSITY
BARBARA MCKEON,BROOME STREET ACADEMY CHARTER HIGH SCHOO
MARTHA ST LOUIS,COPENHAGEN HAPPY ACHERS HOUSING
BRIAN HASTERT,THE THEATRE OF THE EMERGING AMERICAN
NANCY SCOTT WHITING,LINKS FOUNDATION INC
NEZAM AL-NSAIR,UNIVERSITY OF MOUNT UNION
KENNETH MBONU,INTERNATIONAL CHARTER SCHOOL OF NEW YORK
PAUL SEKHRI,YOUNG CONCERT ARTISTS INC
EMILIA PEIFFER,AMERICAN SCHOOL COUNSELOR ASSN
S JAY POPLI,MONROE CC FOUNDATION
FRED WARD,BUILDING SERVICE 32BJ THOMAS SHORTMAN
PETER PETTIT,NORTHEAST WASTE MANAGEMENT OFFICIALS
CHRISTOPHER CAPOBIANCO,PATCHOGUE VILLAGE CENTER FOR THE
JIM MCHALE,ASSOCIATION FOR CHILDREN WITH DOWN
KARL WILLIAMS,ST JOHN FISHER COLLEGE
RONALD A PLUTA,ST JOHN FISHER COLLEGE
ANDREW COHEN,POETS & WRITERS INC
KIONO THOMAS,YOUNG AUDIENCES NEW YORK INC
RYAN STONE,ASSOCIATION OF WRITERS AND WRITING
JUAN DIOS,IMMIGRATION LEGAL SERVICES OF LONG
ANDREW S TOOLE,ROBERT MORRIS UNIVERSITY
RONALD M VRANICH,CLEVELAND MUSEUM OF NATURAL HISTORY
SANDRA ROBERTS,LEWIS CO HEAD START
HARRY SHERMAN III,CATO VOLUNTEER FIRE DEPARTMENT
MYRTLE BELLINGER,NIAGARA ENGINE CO NO SIX INC
JOHN WOLFE,NIAGARA ENGINE CO NO SIX INC
SUE ROLFE,NIAGARA ENGINE CO NO SIX INC
KARL BRATIN,EASTERN ANALYTICAL SYMPOSIUM
JEFFREY KRAMER,TOURETTE SYNDROME ASSO INC
JOHN J ARGITIS,OLD STURBRIDGE INC
CLARKE GRIFFITH,THE NEW FESTIVAL INC
THOMAS GREEN,CENTER FOR DISPUTE SETTLEMENT
DEBORAH CORYER,JOINT COUNCIL FOR ECONOMIC OPPORTUNITY
PHILLESIA W ADAMS,ALBANY HOUSING COALITION INC
THERESA MAE TORI,THE SCARSDALE WOMANS CLUB INC
ROSEMARY KING,THE SCARSDALE WOMANS CLUB INC
RODNEY BRIMMER,BARNES CORNERS SNO-PALS INC
BARBARA BAER,CHILDREN AWAITING PARENTS INC
MARGARET LOWREY,TWO HUNDRED SEVENTY TWO TO TWO HUNDRED
SHAUN JOHNSON,TIME OUT CLUB OF HEMPSTEAD INC
ARTHUR PRICE,COMMUNITY PRESERVATION COMMITTEE
KRIS HARDER,THE GARDEN CITY HISTORICAL SOCIETY
EUGENE D HALLOCK III,UPSTATE NEW YORK ENGINEERS TRAINING FUND
JAY E FARRAR,HARNESS RACING MUSEUM & HALL OF FAME
THEODORE GEWERTZ,HARNESS RACING MUSEUM & HALL OF FAME
NANCY OLECHNOWICZ,DELAWARE OPPORTUNITIES INC
JANET CROWLEY,FINGER LAKES HEALTH SYSTEMS AGENCY
MARCIA GODOSKY,SHARE SELF-HELP FOR WOMEN WITH BREAST OR
EUSEBIO MUJAL,LOWER WEST SIDE HOUSEHOLD SERVICE CORP
MARILYN TAYLOR,ECCH AT BABSON LTD
ANNETTE M JOHANSEN,NATIONAL ASSOCIATION OF SCHOOL NURSES
MATT HOLLIDAY,WEST CHESTER UNIVERSITY
KATIE BROGRAM,FACULTY STUDENT ASSOCIATION
TAMMY CHAIMOV,NASH JEW
ESTHER LEADLEY,COMMUNITY ACTION OF ORLEANS AND GENESEE
JOHN HALL MD FACP,NEW YORK CHAPTER AMERICAN COLLEGE
JENNIFER COHAN,FRIENDS OF HUDSON RIVER PARK
MARY HASTINGS,SAMARITAN CENTER INC
ERIN MCMURROUGH,ARTS COUNCIL OF THE SOUTHERN FINGER
MARVA HAWKINS,HEAD START OF ROCKLAND INC
JACK KELLOGG,NEW YORK STATE DISPUTE RESOLUTION
CARLENA FICANO,CENTER FOR AGRICULTURAL DEVELOPMENT &
NANCY CONNORS,FARMINGDALE CAMPAIGN 845
KEVIN RICHARDS,WESTCHESTER HOUSING FUND INC
SARAH WOODS,STUDENT ASSOCIATION
TIMOTHY PURCELL,COBLESKILL AGRCLTL & TEC COLLEGE
RICHARD A BALES,OHIO NORTHERN UNIVERSITY
TODD BEMILLER,HAMBURG SCHOOL FOUNDATION
LAURA LEPAGE,THE CHILDRENS CENTER AT MORRISVILLE
MYRON THURSTON II,THE CHILDRENS CENTER AT MORRISVILLE
SHARON CHESNA,RURAL HEALTH NETWORK OF SOUTH CENTRAL
FELICE KARLITZ,SARATOGA INDEPENDENT SCHOOL
JA JANSON,SYRACUSE PULP AND PAPER FOUNDATION INC
STEPHANIE NELSON,CAYUGA-SYRACUSE PREBYTERIAN HOME
MARIA HARLOW,CELIA JOSEPH
ELLEN O'CONNOR,UNITED WAY OF CENTRAL NEW YORK INC
JOSEPH E O' HARA,UNITED WAY OF CENTRAL NEW YORK INC 859
DONEEN HOBBS,UNITED WAY OF CENTRAL NEW YORK INC
GREG CUNNINGHAM,AMERICAN CASE MANAGEMENT ASSOCIATION
ROCCO DISPIRITO,JOHN V LINDSAY WILDCAT ACADEMY CHARTER
PAUL WILLIAMS,EAGLE ACADEMY FOUNDATION
JOSHUA FOUST,STUDENT GOVERNMENT ASSOCIATION OF SUNY
MR MITCHEL RHOADS,TRINE UNIVERSITY
JOSEPHINE GRIMA,NATIONAL MARFAN FOUNDATION
BURTON RELETHFORD,STATE UNIVERSITY OF NEW YORK COLLEGE AT
CAITLIN DEMPSEY,STATE UNIVERSITY OF NEW YORK COLLEGE AT
KANDICE HAUGHTON,STUDENT SENATE OF THE STATE UNIVERSITY
JOHN THRASHER,FLORIDA STATE UNIVERSITY CPEIP
ANDREA LEX,MID ATLANTIC REGION COMMISSION ON HIGHER
JOHN WHELAN,COLLEGE AND UNIVERSITY PROFESSIONAL
CARROLL BLAKE,TEACHERS21 INC
ROBERT GARCIA,NATIONAL RECREATION AND PARK ASSOCIATION
MARCY MAIURI,ULSTER COMMUNITY COLLEGE ASSOCIATION INC
ANNE KERN,PURCHASE COLLEGE ASSOCIATION INC
WALTER A EISENHAUER,ACCREDITATION REVIEW COMMISSION ON EDUC
LUCRETIA HUNT,UTICA NEIGHBORHOOD HOUSING SERVICES INC
EMILY RUSSELL,ELIZABETH ANN CLUNE
DR THOMAS L WARREN,GARDNER-WEBB UNIVERSITY
KATHERINE KITCHENER,PRODUCT STEWARDSHIP INSTITUTE INC
FLORIN GEORGESCU,FACULTY STUDENT ASSOCIATION OF JEFFERSON
KATE FARRELL,COMMUNITY ACTION OF GREENE COUNTY INC
KAIFENG YANG,NETWORK OF SCHOOLS OF PUBLIC POLICY
CAROLYN YOUNG,REGIONAL SCIENCE & DISCOVERY CENTER
NANDINI MONGIA,SAKHI FOR SOUTH ASIAN WOMEN
JULIE COIRO,INTERNATIONAL READING ASSOCIATION
PAUL J KAYE MD,SCHUYLER CENTER FOR ANALYSIS & ADVOCACY
CRAIG BUCKHOUT,ESF COLLEGE FOUNDATION INC
VILMA VALE-BRENNAN,CINEMA TROPICAL INC
MARTIN J MCLAUGHLIN,THE MIDTOWN MANAGEMENT GROUP INC
LOUISA CHAFEE,HUMAN SERVICES COUNCIL OF NYC
VICTORIA BERSHADSKY,SCHOOLNOVA AT STONY BROOK INC
THOMAS SCHMIDT,INDIANA WESLEYAN UNIVERSITY
NICHOLAS D'ARBELOFF,MASS AUDUBONS DRUMLIN FARM
ROSAMOND VAULE,MASS AUDUBONS DRUMLIN FARM
LAURA BONELLI,GARDEN CITY NURSERY SCHOOL
CATHY TERWILLIGER,BETHESDA HOUSE OF SCHENECTADY INC
